alert_id,alert_type,severity,message,trigger_time,notification_sent
9e685eca-3,System Error,High,Thus name conference property.,2025-04-04 20:11:59,False
13f9184b-7,Stock Low,Low,Message do author create international answer collection.,2025-04-07 05:34:25,False
893dc0f4-b,Stock Low,Low,Bit building structure season best so.,2025-04-06 06:56:47,False
68e99342-6,System Error,Medium,Him us role again play final either.,2025-04-18 14:54:31,True
e6ee9d97-7,System Error,Medium,Bank charge just control human.,2025-04-12 03:22:30,True
25d37efd-c,System Error,Low,Step indeed sport cold.,2025-04-01 22:24:12,True
653a0f38-d,Fraud,High,Thing magazine anything wait stand analysis sport.,2025-04-16 19:07:33,False
03b34200-1,Stock Low,High,Lot more time strategy.,2025-04-08 02:41:35,False
775b1a30-e,Stock Low,High,More black early require three.,2025-04-12 09:35:31,True
56e45c7e-d,Stock Low,High,Whether father heart beat.,2025-04-13 19:07:50,True
1eb654ed-7,System Error,Low,Individual half key security end color gun.,2025-04-13 00:10:00,False
64d276eb-6,Fraud,Medium,Course who edge area candidate.,2025-04-06 18:20:17,False
ef775edc-4,Stock Low,High,Attack per effect result prove yet.,2025-04-10 13:12:43,False
42563d36-e,Stock Low,Low,Any impact view hour.,2025-04-14 08:16:52,False
8fb26086-d,Fraud,Low,Charge Mr strategy month.,2025-04-17 13:15:41,False
f928bd00-3,Stock Low,High,For area television admit instead hold position.,2025-04-11 18:33:01,True
714a1f30-9,System Error,High,Act strong protect kitchen.,2025-04-13 05:41:31,False
feb3fc41-f,Fraud,High,Election century fund his talk especially first choose.,2025-04-07 00:58:55,True
b2aa2f32-a,Fraud,Medium,Address public budget another wall sister audience wife.,2025-04-06 00:11:59,True
499a434e-6,Stock Low,High,Choose these window plant million realize.,2025-04-13 00:18:26,True
99655cb8-b,System Error,Medium,Question now table daughter.,2025-04-17 21:51:34,False
45c66dae-8,Fraud,High,Commercial believe home guy.,2025-04-02 12:43:22,True
f4856059-a,System Error,High,Trade wind away bit build study wide.,2025-04-06 14:34:40,False
8c2bdf2c-4,System Error,High,Phone treatment born name natural cell seek difficult.,2025-04-04 16:09:14,True
cd3980b9-3,System Error,Medium,Choice can throughout perform buy.,2025-04-05 12:59:38,False
378db462-1,Stock Low,Medium,Seek that far pretty type rich hand.,2025-04-09 13:32:20,False
0d1a0b54-c,Stock Low,Medium,Include identify report right.,2025-04-06 07:55:24,False
ca6ca7a8-3,Fraud,Medium,Town loss court sell.,2025-04-15 06:22:41,True
3106196f-6,System Error,High,Heart south themselves military wide.,2025-04-12 12:48:47,False
849a6ccf-7,System Error,High,Evidence sound gun issue air.,2025-04-18 14:55:24,False
d1553e38-e,Stock Low,Low,Stand beautiful give I huge physical speak.,2025-04-02 07:30:54,False
5c92efa0-3,System Error,Medium,Laugh huge eye interesting at.,2025-04-08 10:00:52,False
488d027d-5,Fraud,Low,Suddenly interesting member page.,2025-04-17 03:10:37,False
567febcb-3,Stock Low,Low,Relate stand wall within draw happen later.,2025-04-04 04:40:26,True
02ee1410-f,System Error,High,Necessary enough wind talk eight.,2025-04-14 19:18:48,True
f9b6f2c7-e,Stock Low,Medium,Drug institution brother ability card.,2025-04-14 11:27:53,False
a9ef0af4-e,System Error,Low,Matter thought gas.,2025-04-10 23:15:54,False
e86930ec-e,System Error,High,Tax toward consider clear ahead new us.,2025-04-17 17:55:39,True
26ac6d4d-1,Fraud,High,Tonight tonight plant hear cause.,2025-04-03 01:01:29,False
ac98c4aa-b,Fraud,High,Wife production plant.,2025-04-18 02:01:31,False
4cfed7ba-6,Fraud,Medium,Stock money easy.,2025-04-10 07:52:54,False
07fbd364-9,Stock Low,Medium,Many figure firm seem care single fly summer.,2025-04-09 02:26:05,False
1b1e5ce2-0,System Error,Medium,Investment enter some young what agency.,2025-04-07 01:14:04,True
f9cab976-d,Fraud,Low,Respond seat citizen already apply industry.,2025-04-07 10:03:24,True
9db2b9ce-7,Fraud,Low,With blue specific third to interesting who center.,2025-04-17 20:54:49,True
5f23a6d9-8,Fraud,Low,Employee yard concern big.,2025-04-03 18:38:10,True
abd9e1c5-5,Stock Low,Low,Huge my fine line movie thought.,2025-04-13 05:52:39,False
3539354d-9,Fraud,High,Whatever we society rate.,2025-04-10 15:19:56,True
4577d89f-e,Stock Low,Medium,Few loss quite discussion keep.,2025-04-08 00:15:58,False
dcc74f67-3,System Error,High,Best best impact hospital.,2025-04-14 19:22:17,False
108b4b14-8,Fraud,High,Spring while focus Mrs everything hour television.,2025-04-10 09:36:03,False
8d9edbbf-4,Fraud,High,Beyond sell simply black.,2025-04-03 13:47:06,False
8b24a867-7,System Error,Low,Decision relationship anything certainly face.,2025-04-10 05:05:30,True
ea65bade-f,Fraud,Low,Red discussion leg enter themselves.,2025-04-11 10:56:25,True
f9be87f6-a,Stock Low,High,Different fall together whatever clearly watch.,2025-04-06 10:45:08,False
4a34a0ef-0,Stock Low,High,Girl a fall interesting than should rate.,2025-04-16 21:46:02,False
16d8eefc-f,Stock Low,High,Outside war politics tell president.,2025-04-06 17:11:29,True
ffc9023c-9,Fraud,Low,Me specific best same.,2025-04-05 00:22:49,True
