transaction_id,product_id,quantity_sold,unit_price,sale_date
32f4f157-4,P585,9,220.12,2025-03-13
ce4ab1d1-8,P285,8,313.72,2025-02-07
56956df9-0,P068,15,251.69,2025-02-15
b0615960-7,P114,16,131.43,2025-04-11
dc3c5b1a-4,P027,5,68.24,2025-02-16
b3865f84-2,P243,2,223.48,2025-02-13
497568eb-3,P484,3,171.09,2025-03-06
7818bc55-2,P441,13,447.5,2025-04-11
3040f0f0-a,P701,7,212.48,2025-03-16
85822e3c-4,P141,8,469.72,2025-01-24
513e4b38-e,P242,17,229.14,2025-01-06
4ffd622d-8,P415,4,289.98,2025-02-10
d7c7bc16-f,P919,1,53.91,2025-02-22
0947c722-0,P047,1,404.92,2025-03-30
28190450-9,P648,9,96.32,2025-02-17
1f64c1a6-e,P438,19,113.26,2025-01-30
33bf9004-7,P244,1,472.69,2025-04-15
f23db488-8,P242,18,321.9,2025-01-22
62a47f61-2,P307,8,277.98,2025-02-04
27fc716d-f,P127,11,181.05,2025-03-05
bfa740e6-5,P030,16,137.89,2025-01-30
8383981d-f,P202,1,60.22,2025-02-10
28984b6e-8,P673,16,225.54,2025-04-08
8ccaaa66-9,P387,9,497.4,2025-02-15
d056cf44-1,P923,17,479.26,2025-02-26
9d7fd655-3,P365,3,211.46,2025-01-19
7b7bd358-e,P331,7,416.73,2025-03-29
92eb5ecf-9,P124,2,471.64,2025-01-09
05b90b19-f,P194,11,444.92,2025-01-25
c872557f-e,P457,3,273.95,2025-01-10
4d10766b-b,P328,8,352.75,2025-03-18
e2edb4a8-4,P044,15,77.25,2025-03-08
1eddf767-2,P742,7,447.59,2025-03-08
0b67b09a-c,P725,12,125.5,2025-01-19
ce2f8b63-8,P985,9,54.48,2025-01-25
19f506cb-1,P641,10,349.26,2025-03-28
81e88558-1,P559,14,488.8,2025-03-16
6bc8f1da-6,P324,20,415.41,2025-03-17
c0ab5ff0-5,P440,1,98.11,2025-04-05
8ecdaba1-1,P587,2,436.76,2025-03-14
8c551091-5,P451,15,214.69,2025-02-02
f03276d7-b,P032,17,299.09,2025-01-12
74c0e935-1,P848,11,358.13,2025-02-07
ccedf1d6-0,P857,6,216.6,2025-01-29
676807d7-9,P932,7,170.18,2025-01-15
6eeab415-8,P190,18,150.18,2025-02-15
8251537a-4,P513,8,236.78,2025-01-25
20f1eda9-c,P801,7,196.34,2025-01-10
f2367c73-d,P279,15,291.99,2025-02-26
5429fccd-5,P583,10,82.22,2025-01-20
66d89602-6,P786,2,472.59,2025-02-06
78b1aa48-3,P273,1,153.2,2025-02-02
34bc7bf8-e,P113,4,434.68,2025-01-12
6bfe6a8c-a,P949,13,302.51,2025-02-18
8628702c-3,P858,10,479.46,2025-02-22
c5fefba3-7,P455,15,325.06,2025-02-27
0426b1ab-1,P023,18,253.66,2025-01-21
099be375-4,P186,3,287.07,2025-01-14
8f5ef457-7,P537,7,331.96,2025-04-09
644aacdc-3,P312,3,90.16,2025-02-17
c571feae-8,P078,15,153.1,2025-03-10
120c87e9-d,P841,15,469.71,2025-01-11
b4752b10-b,P012,7,460.88,2025-04-01
1d915508-b,P977,5,329.6,2025-01-10
1803a68a-e,P563,20,377.09,2025-02-24
31cbd885-e,P846,14,53.69,2025-03-15
6d882c79-f,P510,17,429.67,2025-02-15
5ac0644f-5,P387,4,59.57,2025-01-14
b3affc64-1,P573,14,314.71,2025-03-06
1ca5fd70-d,P289,18,442.6,2025-03-07
a092a098-d,P931,1,217.14,2025-01-21
674c66fb-7,P398,11,447.74,2025-03-28
d1487872-3,P099,9,455.34,2025-01-02
82912729-a,P139,7,366.81,2025-03-20
8826055f-c,P936,3,486.91,2025-01-13
4be10b8a-3,P764,7,173.17,2025-03-10
3fd9ca70-5,P628,5,395.68,2025-02-24
58de12f5-a,P982,8,398.92,2025-02-05
0e14b351-1,P944,7,353.43,2025-02-02
72e9a596-0,P979,16,69.07,2025-01-02
5f419f3e-e,P639,19,174.74,2025-03-05
e8ce2226-7,P406,18,478.81,2025-01-05
117e8e59-d,P487,12,296.62,2025-01-03
29547819-7,P845,11,485.94,2025-03-30
c5923e79-c,P448,17,94.22,2025-01-16
d4476cf5-3,P185,14,65.78,2025-02-26
47f53641-3,P878,20,305.36,2025-02-01
6058a5e2-9,P340,7,427.33,2025-02-19
828de788-8,P925,14,356.65,2025-03-28
c0959286-8,P238,1,191.46,2025-01-31
b98284bc-a,P745,17,84.93,2025-02-22
c218a07b-1,P760,18,129.0,2025-03-10
e5ca4522-e,P537,3,312.98,2025-02-24
904b4538-5,P890,20,115.05,2025-02-09
345e3c5d-7,P573,6,379.86,2025-01-06
5c43779e-5,P155,11,394.59,2025-01-21
65edba63-6,P858,3,229.09,2025-02-05
94a26a29-5,P938,20,484.55,2025-03-07
f362df19-1,P003,9,414.82,2025-04-14
d31cbedb-0,P563,15,290.49,2025-04-12
5a7acc40-1,P642,10,486.8,2025-02-06
e0f70cbe-4,P891,6,313.36,2025-02-12
e1dd6fe3-b,P505,16,412.23,2025-01-10
c6ba5936-f,P606,11,55.54,2025-01-09
812f0ae1-2,P559,16,134.53,2025-01-15
3ab13006-a,P812,6,79.21,2025-01-03
5e4cf0a2-a,P382,17,149.48,2025-01-28
6e410a99-6,P579,13,415.67,2025-01-01
e0f1f508-b,P400,1,371.34,2025-02-13
4dd42252-1,P727,7,262.81,2025-02-12
583dc6f8-8,P361,6,407.45,2025-02-22
16e87a2b-9,P063,10,402.76,2025-02-19
d792bb8a-6,P219,2,118.75,2025-01-19
2063eedf-5,P545,10,402.85,2025-03-10
7b9a8079-a,P010,16,309.11,2025-03-23
b70ad65d-d,P572,16,131.38,2025-04-04
5d97c9e0-f,P434,9,352.68,2025-01-31
17f45b10-5,P892,4,81.88,2025-04-02
e4437e89-e,P873,20,153.07,2025-03-01
b166b723-8,P451,7,164.55,2025-04-17
600e82d2-9,P063,4,115.92,2025-02-22
026d6dcb-5,P466,9,207.34,2025-01-11
456ed1b6-f,P754,2,470.39,2025-01-13
e9cae981-0,P396,5,80.54,2025-02-27
7eb6b913-c,P495,2,73.53,2025-01-02
fa7807eb-d,P746,17,308.57,2025-02-24
1d6e31a5-1,P906,6,369.72,2025-02-13
5a74a6d9-0,P574,14,465.93,2025-01-13
17acf737-1,P221,18,303.34,2025-03-25
a800b87f-1,P255,19,262.06,2025-03-04
d4b08bcc-2,P661,13,250.62,2025-03-06
963c688c-7,P944,7,382.03,2025-04-10
a67403ef-1,P333,19,236.64,2025-04-14
7478bf4f-f,P395,7,422.76,2025-01-26
6a91073b-c,P693,12,407.81,2025-02-24
4af2ab2a-3,P571,12,143.04,2025-02-15
05f41938-a,P323,10,392.37,2025-04-05
8f418021-a,P481,16,177.09,2025-02-10
2ccc85d5-f,P377,8,428.15,2025-03-15
87910b8d-3,P976,6,328.34,2025-01-09
32889c5c-1,P124,20,342.29,2025-01-19
f3e72286-4,P968,15,253.51,2025-03-08
42e77659-d,P692,12,258.19,2025-02-22
4f484278-f,P800,18,70.91,2025-04-03
85e44a09-4,P306,8,324.51,2025-02-08
7f45a86a-b,P487,2,379.87,2025-02-15
42f4a418-9,P879,20,239.15,2025-03-05
ed3494b3-e,P818,5,413.12,2025-03-12
7bacb333-7,P256,6,455.64,2025-03-23
e41d1aac-d,P880,8,415.28,2025-03-24
0d5714be-e,P320,14,243.19,2025-02-05
d8b93877-1,P547,2,387.57,2025-03-27
938e7581-7,P471,11,452.11,2025-01-12
a1f1eb63-0,P958,9,191.89,2025-04-02
79f3c577-6,P698,8,155.34,2025-02-24
2da1940c-d,P961,3,213.66,2025-02-18
edf7423a-e,P299,6,113.31,2025-04-17
6c54296c-2,P753,7,454.39,2025-04-05
14c417b4-1,P363,7,465.7,2025-02-07
61f0a100-5,P140,7,150.14,2025-03-21
c5139636-7,P414,6,303.33,2025-04-02
33d9db8f-6,P211,20,139.69,2025-03-10
c8ccb732-e,P718,10,222.61,2025-01-11
5e86205a-f,P411,7,246.15,2025-01-17
d24de576-9,P823,15,212.86,2025-01-25
8575e49b-e,P775,4,144.68,2025-04-07
38b39aea-f,P571,3,293.26,2025-01-20
ec6466dd-a,P654,5,161.42,2025-01-16
bd779084-a,P961,7,213.65,2025-03-04
5233bd69-5,P871,15,128.99,2025-01-23
6e2826a0-9,P608,18,493.61,2025-01-26
08637b76-8,P248,7,99.15,2025-03-12
96a206a0-4,P623,6,365.0,2025-01-28
604c7446-6,P714,9,458.16,2025-01-05
95eceef3-d,P063,6,93.11,2025-02-07
daa3bfd3-7,P742,16,491.72,2025-03-11
424e384a-5,P967,12,107.12,2025-01-16
1a45b117-4,P864,17,326.81,2025-02-21
6c0f1190-d,P702,11,333.94,2025-01-18
5c55efe4-d,P916,18,403.7,2025-03-04
5bb9d563-c,P929,2,452.0,2025-01-16
9bdbd596-c,P984,1,299.56,2025-03-17
8a8148fb-9,P568,6,449.19,2025-03-28
b5eb891d-4,P307,12,252.17,2025-03-24
79ede74d-8,P071,10,312.54,2025-03-20
bcc18844-f,P752,3,319.73,2025-01-04
e48de7b7-2,P963,18,315.86,2025-01-01
b6a9255b-e,P435,3,458.42,2025-02-12
cb5f0e93-6,P925,18,167.68,2025-02-16
89534523-6,P986,17,117.15,2025-01-02
8a4ab8de-9,P947,8,205.04,2025-02-24
4ffba9c4-f,P253,5,455.14,2025-02-26
79e53950-7,P372,14,211.05,2025-04-10
48c5cdde-e,P852,19,451.21,2025-01-14
470ebc39-1,P594,1,74.57,2025-02-28
466b3046-7,P178,19,370.12,2025-01-03
82840728-e,P055,3,201.13,2025-01-07
d5445bce-3,P656,18,141.69,2025-02-04
2249c25e-1,P306,14,449.43,2025-02-11
cc3c1ce2-9,P182,6,106.28,2025-01-07
0438e6b3-0,P086,18,280.58,2025-02-08
5af8af31-5,P196,5,298.25,2025-03-16
b3a766dd-f,P196,15,377.95,2025-04-09
bf3d51cb-6,P794,11,266.85,2025-02-12
63df1b3f-b,P408,4,438.81,2025-04-11
5cb1d487-1,P752,20,270.78,2025-02-17
81dbb3fc-2,P072,8,408.91,2025-03-26
b6ea5c47-6,P354,18,405.98,2025-01-11
b97b2724-b,P758,14,384.55,2025-03-27
1044501a-2,P147,20,358.11,2025-02-22
b4edb2f7-f,P489,2,404.16,2025-01-12
6f21fd31-2,P059,5,312.83,2025-01-01
49622357-c,P612,15,424.49,2025-03-28
5e93761b-8,P487,9,291.76,2025-03-15
1928ac73-e,P517,20,299.31,2025-01-15
67a168be-c,P816,10,279.72,2025-03-19
76bd7004-4,P334,8,159.31,2025-01-07
afb1ca50-6,P642,4,273.06,2025-03-02
b7a9a457-6,P263,17,483.09,2025-03-19
c25089d0-7,P891,20,420.78,2025-02-27
aff5bdf9-2,P976,14,220.99,2025-02-15
21c7fd30-2,P819,16,424.53,2025-01-12
4d9d61ae-e,P258,14,238.05,2025-03-23
58e36370-6,P050,9,254.76,2025-03-07
acd79c05-b,P054,13,179.23,2025-02-28
0fea9b1d-7,P615,14,366.41,2025-03-18
2ee84144-6,P946,20,156.13,2025-03-23
b9fca0a7-7,P496,20,182.71,2025-04-02
8945e65a-1,P039,12,444.66,2025-02-10
be80be19-3,P976,16,460.63,2025-02-26
ecc03f77-d,P966,18,243.68,2025-03-26
84c5bb02-7,P663,9,329.22,2025-01-11
d52d4340-2,P002,16,104.77,2025-03-31
2cc79e5b-1,P494,14,470.79,2025-01-25
b4aee202-7,P631,14,277.66,2025-03-12
13e37404-e,P612,16,84.35,2025-03-15
af396310-d,P488,9,259.59,2025-01-10
d3192b11-3,P055,18,137.47,2025-04-08
db62104d-5,P319,18,65.68,2025-02-05
0fe4ed00-a,P958,3,232.27,2025-04-16
9cd85d95-3,P069,12,255.15,2025-04-08
4b18e421-1,P109,19,57.14,2025-02-07
8c94a76f-8,P191,12,173.69,2025-01-12
880d226a-1,P793,19,385.42,2025-01-11
863c8e33-3,P995,8,79.89,2025-03-19
6670713d-7,P093,4,204.88,2025-03-01
5af1ce1f-0,P699,11,471.38,2025-03-19
0d5c69b1-3,P542,13,491.37,2025-02-20
988b1466-6,P217,15,324.57,2025-02-07
2076b02e-1,P560,19,314.78,2025-01-02
c4a42a05-f,P854,11,160.07,2025-03-31
e69b5331-f,P454,18,212.62,2025-02-09
1986c57e-3,P688,4,247.22,2025-03-25
c02123eb-4,P479,11,295.39,2025-01-19
85906194-e,P553,1,269.28,2025-02-16
35b4051b-a,P793,14,254.1,2025-02-24
092ac87b-e,P444,12,267.86,2025-01-10
c127e11f-5,P602,1,391.34,2025-03-02
2a8e8624-9,P936,18,459.55,2025-04-05
cd1657dd-6,P214,19,203.75,2025-01-21
a182ecac-e,P294,19,137.41,2025-02-10
23f5a489-e,P778,10,149.58,2025-03-25
0200346e-5,P264,11,75.47,2025-04-11
c30462ee-6,P383,1,124.34,2025-01-08
6c5790b7-4,P683,15,230.82,2025-01-19
f629bad3-5,P471,3,150.14,2025-03-10
885bfaaf-4,P266,7,475.05,2025-01-30
8fa5c2ee-b,P854,13,381.15,2025-01-23
ae5aadda-d,P588,2,98.6,2025-01-06
8ba82557-8,P749,19,441.52,2025-01-19
8c7aeebd-8,P409,2,298.4,2025-02-01
73e634fe-5,P511,3,330.38,2025-02-09
e827c966-a,P126,6,281.37,2025-02-24
8070c717-d,P408,4,351.44,2025-03-05
33a58df1-1,P190,12,366.24,2025-03-07
d9664872-c,P686,19,64.14,2025-01-13
694ef67b-b,P389,11,394.32,2025-01-17
fefe27b7-d,P161,13,493.88,2025-03-08
e91cfd33-0,P814,14,425.36,2025-01-19
0f6ed572-0,P208,11,332.43,2025-03-06
64453ed7-6,P108,12,228.73,2025-03-25
b5a7c948-3,P813,19,340.81,2025-04-09
17f6deb8-a,P728,3,241.49,2025-02-07
837d2c16-e,P167,12,369.8,2025-02-05
2ab47a12-a,P785,11,380.27,2025-02-04
fbaad0c4-0,P681,2,306.0,2025-04-04
c41195c9-f,P841,1,426.98,2025-02-05
ec2b874f-7,P399,18,379.86,2025-03-26
efa63c58-2,P782,18,364.44,2025-04-12
6c7d0281-2,P019,13,319.52,2025-03-17
472dc363-3,P903,2,354.33,2025-03-28
96e8ecf3-9,P007,3,208.27,2025-01-07
d6fa4a45-f,P340,4,273.96,2025-02-26
92fa4171-6,P219,12,468.7,2025-02-16
2e890c28-4,P537,18,405.74,2025-01-02
306e78fc-6,P812,4,85.94,2025-02-10
fb76225e-0,P958,20,488.51,2025-04-12
fadf984d-6,P856,2,422.75,2025-03-07
2a2607fe-b,P290,20,453.94,2025-04-03
f58bfcaa-2,P305,11,332.92,2025-04-15
86206d53-a,P983,4,235.55,2025-03-05
498380bb-2,P233,17,143.45,2025-02-06
696a6c03-9,P717,3,245.38,2025-01-22
d9deb4e5-0,P533,10,90.92,2025-03-02
9199ff4a-f,P791,16,108.05,2025-01-15
73226cc4-c,P588,6,339.95,2025-03-01
a61083cd-7,P034,13,91.21,2025-02-05
34156d06-d,P131,16,208.79,2025-04-01
b2267cd5-4,P283,2,199.64,2025-03-14
c7ce8229-d,P874,2,188.33,2025-01-26
5eb0c735-e,P680,20,481.28,2025-02-13
a9916088-d,P071,5,203.81,2025-02-15
713a0872-2,P206,9,150.74,2025-03-19
12502460-6,P590,11,207.49,2025-04-10
bab472b3-f,P797,13,462.6,2025-03-19
7d5497c6-2,P384,9,256.11,2025-03-01
10516137-4,P457,4,448.04,2025-01-10
8d6da992-c,P163,10,188.0,2025-01-29
9c89398c-3,P707,2,430.42,2025-03-30
3c4da891-c,P939,18,400.2,2025-04-09
42c388e5-0,P301,7,256.31,2025-03-08
bd9fb95f-e,P077,12,210.2,2025-04-05
0d1a356c-f,P912,16,396.21,2025-02-17
321086b5-f,P520,3,195.05,2025-01-01
2b603827-f,P050,19,487.28,2025-03-09
aa9af949-3,P004,1,320.15,2025-01-13
45317eae-4,P045,2,66.02,2025-01-26
f396b6d9-a,P192,18,211.29,2025-01-10
7e7ae865-a,P554,12,391.48,2025-01-14
75d66b75-5,P673,16,497.72,2025-02-10
a11bd6b4-6,P827,16,311.32,2025-01-15
55e47b24-2,P133,5,475.57,2025-01-25
6a451064-0,P431,12,69.81,2025-01-18
adadd881-b,P343,14,294.04,2025-02-10
e3112abc-a,P324,18,280.81,2025-03-17
9ba9f1a9-0,P492,11,195.21,2025-02-19
a531ae83-d,P595,4,73.56,2025-02-09
027b940a-8,P256,9,411.92,2025-04-05
91019ee1-e,P535,9,205.1,2025-01-15
a994ecbf-2,P690,14,136.06,2025-03-16
dd641a87-8,P514,6,336.98,2025-01-29
5089a9aa-1,P581,14,453.53,2025-02-14
30559114-3,P246,20,322.94,2025-01-01
b3fbc504-1,P283,1,219.22,2025-02-13
d110eb10-d,P032,9,417.25,2025-03-30
946eb3a9-0,P903,7,480.86,2025-04-02
f2cf000b-7,P407,12,438.44,2025-01-16
