supplier_id,supplier_name,contact_person,email,phone_number,city
615858f9-1,Williams-Murillo,Jamie Owens,james92@example.org,46263431093771,Chrisshire
bb77c6a0-c,Ryan-Walton,Ann Schmidt,alee@example.com,0017785648762825,East Brittany
7b434151-2,Beltran-Williams,Margaret Gross,smithjeffery@example.org,9714511297049,Ramirezfort
ae08a7a9-a,Vasquez PLC,Megan Bishop DDS,kristen82@example.net,2122417178,Port Brittanyfort
603cb1aa-1,Edwards-Murray,Krista Stuart,tristan05@example.net,167694462673528,Collinsville
9c6cb8ef-a,Perkins-Mitchell,Carla Brown,fdavidson@example.org,1606588607622876,Johnmouth
b68965e9-1,Stark-Banks,Crystal Richard,stevencole@example.org,1838710666339978,Port Debra
9eae21a0-8,Dawson-Weaver,Robert Taylor,elizabethkerr@example.org,887409421969789,West Diana
b9aa49f2-4,Williams Inc,Katherine Gutierrez,zporter@example.org,0012439896207,New Davidport
fbd9dcf4-b,"Hernandez, Bowman and Mitchell",Allison Brown,amysmith@example.net,16977329156,Johnburgh
05843fd4-9,"Perez, Thomas and Mitchell",Carol Powers,christine03@example.org,3159257718,East Sheilachester
2d4e9794-6,Gonzalez-Bush,Ann Bender,hmoss@example.com,9244957823,West Mary
46e58cca-b,Smith Ltd,Terri Washington,timothy03@example.net,92938989871697,South Patriciashire
d6bbcb73-6,Graves Inc,Karen Elliott,ashields@example.com,3423376570,Matthewville
9991896e-a,Lucero and Sons,Alexis Berg,millerjulie@example.org,0013266797816289,East Lisaberg
2f2403a1-8,Drake and Sons,Jordan Brown,lisa44@example.org,4818222857,South Georgeside
8ab607d3-0,Burton Inc,Tracy Davis,ortegacynthia@example.net,8843678235,Crystalport
28ac3b55-4,Padilla LLC,Patricia Baldwin,kristina91@example.com,4765986610,South Melanieville
a5f0edf7-3,"Hernandez, Myers and Byrd",Alexandra Strickland,brianshort@example.net,2954789502,Lake Jadeland
3240403d-5,Schneider-Henderson,Daniel Martin,angelicamunoz@example.org,5719969126819,Jenniferborough
18e48380-1,"Mcdaniel, Hale and Walker",Dawn Lee,ramirezcrystal@example.net,929493390551161,South Angelica
84b473e5-5,"Powell, Ross and Morales",Stacy Simpson,gilmorekayla@example.com,00167783681755617,South Brittanybury
2a3e2c87-6,"Blankenship, Newman and Middleton",Timothy Mccall,brittneyhood@example.com,6816187595,North Tina
dd59d969-7,Skinner Inc,Jessica Bell,tylerbaldwin@example.org,9577438089,East Jonathanport
5288a33d-1,"Johnson, Martinez and Sawyer",Keith Marquez,ryan51@example.com,21687660483112,East Latoyamouth
0040469d-2,Yang-Murphy,Donald Wilson,ericphillips@example.org,13344374330,Leeland
e2c6e413-0,Williams LLC,Joshua Reilly,khoward@example.net,80238185699337,Mccarthyfort
9ae2e2b2-5,"Wilson, Spencer and Webb",Daniel Harris,ewatts@example.net,3415461420,Quinnland
e423a829-4,Solomon-Hood,Eric Powell,ghill@example.com,00135842781819744,Shaneburgh
8c8e0561-a,Fox Inc,Katie Salazar,ithomas@example.net,00132653686291929,Port Cory
d4ed62a1-f,"Lewis, Espinoza and Hernandez",John Graves,nharvey@example.org,17764907957965,Lake Michael
35f3782d-3,Wells and Sons,James Burke,shelley96@example.com,9629177675,Port Robert
b7c25062-a,"Perry, Sharp and Williamson",Jeffrey Mccormick,darlene11@example.net,0013057102858533,Parkerstad
db6134af-c,"Ford, Porter and Gates",Steve Valenzuela,caitlyn96@example.net,6483506741,South Terri
13a5df51-9,Burns PLC,James Kim,josephmartinez@example.com,7533492806,North Monicaborough
3dcdd2f0-a,Goodman and Sons,Michael Lewis,vgarcia@example.org,0019436377554305,South Karenmouth
ceb85bc4-a,"Hoffman, Oneill and Romero",James Dillon,goodwinelizabeth@example.net,821635275261429,Wallacemouth
6745a5fd-d,"Mckinney, Baker and Weber",Deborah Moore,jordanrebecca@example.com,44134882046731,Sarahbury
31f16334-6,Scott-Brown,Katherine Perez,mooneyrodney@example.com,99066271577835,South Shelia
761c3cc5-7,Herrera Inc,Anthony Andrews,lewispeter@example.com,6423526567957,Robertfort
f7312508-9,Davis PLC,Angela Anderson,stephanie59@example.net,7639055470553,Bartlettfurt
9683e165-2,"Santana, Clay and Taylor",Sara Gomez,bobbyswanson@example.com,001201517295269147,South Stephen
8227415d-5,King PLC,Eileen Obrien,courtney63@example.net,0012599511389768,East Brandy
1983956f-9,Sanchez-Gallegos,Kevin Scott,nbrown@example.org,6489604650,Lake Matthew
7e794cc6-f,Moore-Hunter,Samantha Lawrence,jamierichard@example.com,7993886670,Selenatown
20762427-9,"Moss, Phillips and Griffith",Catherine Rose,james59@example.org,8099404759981,Oliviaport
b4602d47-d,Thomas and Sons,Leon Hester,carla57@example.com,37469568799813,East Michael
4e019d36-e,Reed-Stone,Donald Jones DDS,cynthia47@example.org,8337362207,Johnsonchester
f2f37f58-3,Tran-Allen,Melissa Herrera,joshuajenkins@example.org,7416596389,New Derrick
6839e6c3-0,White-Brooks,Thomas Hernandez,eraymond@example.com,001247931790154583,West Heatherton
9cb3f1a2-e,Hughes-Mcgee,Anthony Ingram,villarrealadrienne@example.com,001612869209984668,Christinemouth
f8aca239-f,"Garcia, Singleton and Mccall",Samantha Petersen,kcarr@example.com,452562389566724,Marquezview
d91275f0-5,Owens Inc,Tiffany Wilson,mcole@example.org,8528305456,West Donaldtown
817454ab-1,Henry PLC,Edward Myers MD,garciarobert@example.org,00163496465331405,Nicholaschester
853acc85-1,Jones-Hernandez,Daniel Allen,georgegoodman@example.org,0012542022876,East Ericberg
f4170ad8-9,Pierce and Sons,Barbara Downs,lgillespie@example.com,1815443411215256,South Garyport
2bfd65ec-f,Lewis Ltd,David Weiss,chanmichael@example.org,323677518927452,Tinaside
a994fed2-b,Reynolds Inc,Joshua Webb,amanda33@example.com,1748825234196164,Lake Thomasstad
1748fbf9-b,Jones-Chavez,Nichole Carroll,triddle@example.org,0016706733829793,Lake Allenberg
