product_id,product_name,category,price_per_unit,stock_quantity,supplier_id,last_restocked
d4192e6c-e,Role,Clothing,1548.62,135,9b297744-4,2025-04-18 05:37:36
a8afd609-0,Work,Furniture,3933.14,157,9c6cb8ef-a,2025-04-15 16:52:02
f4a6d766-1,Quickly,Furniture,2602.24,120,3240403d-5,2025-04-02 15:17:37
271bc0ab-1,Might,Books,1096.67,79,ceb85bc4-a,2025-04-12 17:02:37
5584689a-1,Hope,Clothing,2799.85,132,d6bbcb73-6,2025-04-05 11:47:46
37f2f540-d,Lead,Clothing,113.86,192,aade3cbd-f,2025-04-06 07:56:14
7cd622b1-d,Sing,Books,4895.31,23,c1367802-7,2025-04-16 23:04:35
c0fcbae5-c,According,Furniture,2439.97,166,93f468c4-a,2025-04-12 00:18:30
f02313fa-f,Standard,Clothing,292.37,125,5288a33d-1,2025-04-13 02:54:38
7324c1df-d,Tell,Books,1670.5,162,b4602d47-d,2025-04-13 14:28:45
b86767aa-e,Degree,Books,2363.86,140,b7c25062-a,2025-04-13 15:42:04
9fd2907c-8,Structure,Books,1624.03,24,84b473e5-5,2025-04-10 19:29:23
b2533ac9-f,Buy,Books,3293.11,193,4a792db2-b,2025-04-06 12:07:29
8c043701-5,Authority,Clothing,3875.42,158,6745a5fd-d,2025-04-07 18:56:27
81d6bcba-c,Expect,Groceries,1733.76,100,9b297744-4,2025-04-09 18:54:10
24192e2a-d,Of,Electronics,1470.01,25,1623ff46-2,2025-04-13 10:48:14
e220a631-2,Probably,Furniture,1421.78,134,984a89c7-1,2025-04-15 00:49:52
8f864566-a,Each,Furniture,4025.6,136,18e48380-1,2025-04-08 07:07:18
79d91876-8,Same,Furniture,2176.82,195,2a3e2c87-6,2025-04-12 06:18:19
ff0ee827-a,Prevent,Books,4043.67,39,2a3e2c87-6,2025-04-14 01:19:21
5a005b7b-4,Could,Electronics,4949.37,127,b9aa49f2-4,2025-04-15 04:14:27
25c495fa-9,Later,Furniture,3105.51,12,c6e383c4-3,2025-04-03 15:01:02
006416af-1,Respond,Groceries,1593.79,136,a994fed2-b,2025-04-10 01:40:52
6d325bfc-d,Car,Electronics,4661.23,86,b68965e9-1,2025-04-06 11:30:13
7ebb193c-6,Course,Groceries,3169.24,119,b43913be-d,2025-04-03 00:19:37
3471897c-2,Beyond,Books,2078.65,132,9cb3f1a2-e,2025-04-15 07:26:38
ba8354bb-e,Fall,Electronics,2217.79,20,67eaf84f-f,2025-04-07 03:30:20
641791b7-5,Nature,Books,32.59,111,e57f9c7a-b,2025-04-05 16:15:16
cd2c37b1-0,Apply,Clothing,4663.18,15,ae08a7a9-a,2025-04-11 10:30:34
d661cb19-b,Others,Furniture,196.8,130,9cb3f1a2-e,2025-04-09 15:51:13
035005bc-9,Scene,Books,2127.51,150,93f468c4-a,2025-04-17 23:15:51
c1a2aac3-7,Finally,Groceries,3550.81,151,e11d2cc8-2,2025-04-11 12:23:26
ba4d1663-c,Kind,Clothing,3117.51,32,c1367802-7,2025-04-16 05:18:31
560ab495-1,Particularly,Clothing,2722.52,170,b9aa49f2-4,2025-04-14 13:22:40
f3bcfe84-5,Traditional,Furniture,993.67,15,f255bfba-8,2025-04-18 02:57:08
736c907d-a,Cut,Books,4418.1,128,f6ea0e8c-3,2025-04-02 21:20:01
bf4a34c7-2,Keep,Furniture,136.31,116,3c185107-e,2025-04-01 22:59:14
0df844f2-7,Usually,Electronics,3307.5,65,b7c25062-a,2025-04-13 14:46:32
b6544eb8-7,Within,Books,373.63,100,615858f9-1,2025-04-11 04:31:11
b4b208a4-5,Worry,Groceries,738.13,175,4d13c166-4,2025-04-07 09:17:56
01ac773e-d,Middle,Clothing,2919.64,61,9b297744-4,2025-04-01 19:35:25
9cdf7567-3,Democrat,Clothing,2508.73,163,fbd9dcf4-b,2025-04-05 06:57:54
ff8accd7-f,Away,Clothing,1503.25,6,dfe6960a-0,2025-04-10 21:20:34
90fd8c51-a,Happy,Electronics,533.47,85,18e48380-1,2025-04-14 07:34:15
e6d7b7f5-2,Professional,Groceries,3569.11,132,2040955d-9,2025-04-01 23:06:58
2314cbf9-1,Generation,Electronics,655.15,60,c4ef7db4-5,2025-04-13 00:42:58
a60a5180-f,Child,Books,3599.18,43,13a5df51-9,2025-04-06 11:01:36
9414c353-1,Idea,Groceries,3740.27,139,f4170ad8-9,2025-04-10 20:30:50
d75d0c61-c,Born,Clothing,4703.43,132,d6bbcb73-6,2025-04-17 18:12:23
6f19f08c-e,Serious,Electronics,4681.52,30,5288a33d-1,2025-04-13 01:41:14
0a2177bc-a,Sing,Books,270.34,191,b68965e9-1,2025-04-16 20:11:07
234f5b68-4,Every,Books,418.46,121,b4602d47-d,2025-04-14 13:10:23
d951a12b-9,Identify,Electronics,2637.01,13,ea5c6cec-e,2025-04-13 10:11:05
d9bd8870-2,Four,Furniture,2962.55,138,8ab607d3-0,2025-04-17 13:03:36
71a24091-1,May,Clothing,4909.66,161,1623ff46-2,2025-04-07 21:11:13
6583fdff-9,Her,Clothing,2890.11,39,b43913be-d,2025-04-10 19:22:53
e2f3db18-8,Skill,Books,4823.32,123,ae08a7a9-a,2025-04-02 05:44:53
f924fbc8-5,Travel,Groceries,4341.19,94,f5534fd4-4,2025-04-16 04:39:14
71345a3d-5,Other,Furniture,2473.45,188,f8aca239-f,2025-04-12 01:01:00
fe65cda6-e,Good,Groceries,2522.03,149,761c3cc5-7,2025-04-07 23:20:26
3e78498d-c,Without,Groceries,3339.8,168,66c61c76-8,2025-04-04 08:15:14
ba48fcf6-f,Marriage,Furniture,3023.95,107,c4ef7db4-5,2025-04-12 21:56:05
8ae05935-2,Hit,Books,2711.15,111,b924fc4c-f,2025-04-13 20:19:30
3d6b6b79-4,His,Electronics,2100.43,93,dab1b75c-d,2025-04-10 12:48:14
5979af8d-6,Drive,Electronics,3963.27,86,b50cefde-d,2025-04-18 19:47:40
4ebb0710-a,Avoid,Electronics,3590.72,147,6745a5fd-d,2025-04-10 03:27:28
d7ec63d7-7,Here,Groceries,4190.08,125,18e48380-1,2025-04-01 05:09:54
fd8f58a9-2,Charge,Books,460.65,12,f2f37f58-3,2025-04-06 09:22:24
ac1cf6ac-d,Determine,Electronics,1441.54,22,a994fed2-b,2025-04-08 01:06:57
d6911d93-9,Clearly,Books,2299.63,149,9eae21a0-8,2025-04-06 15:06:13
913bba35-4,Store,Books,3742.77,146,8ab607d3-0,2025-04-02 14:45:54
902cab04-0,Respond,Electronics,1778.72,189,f7312508-9,2025-04-16 20:13:56
e1728492-a,Eight,Electronics,2075.03,17,984a89c7-1,2025-04-02 16:28:45
199b2e95-b,Think,Groceries,3993.93,81,b8014e04-4,2025-04-05 16:23:31
693dfe53-5,Speech,Furniture,3455.41,13,761c3cc5-7,2025-04-17 04:16:11
b4dda7a4-2,Stage,Groceries,2948.56,154,f7312508-9,2025-04-06 11:08:50
0cfb4abf-6,Arm,Furniture,2152.06,149,f6ea0e8c-3,2025-04-14 05:00:29
02ce108c-1,Arrive,Furniture,674.38,153,dab1b75c-d,2025-04-01 15:37:31
3cf6925e-2,Pressure,Electronics,4132.61,53,f5534fd4-4,2025-04-01 05:10:58
25e9df53-a,Against,Electronics,1281.66,94,9eae21a0-8,2025-04-11 19:32:41
922021a1-f,House,Clothing,3444.64,125,b43913be-d,2025-04-11 02:58:53
2c8c1677-e,Manager,Clothing,2961.58,179,9ae2e2b2-5,2025-04-07 14:27:43
1e3a2523-d,Popular,Electronics,3890.66,130,9eae21a0-8,2025-04-18 02:13:49
ec475451-4,Relate,Books,3902.11,123,761c3cc5-7,2025-04-11 21:38:16
b37952d2-e,Yeah,Groceries,1500.08,83,7e794cc6-f,2025-04-10 02:42:27
9f1065ee-5,Success,Furniture,39.72,147,3240403d-5,2025-04-15 00:46:21
bb906874-9,Score,Clothing,3809.64,193,87294693-e,2025-04-13 19:51:55
e14d405a-f,Walk,Books,1089.58,17,a994fed2-b,2025-04-09 15:09:54
cf102b79-d,Mother,Books,2873.13,167,d6bbcb73-6,2025-04-02 08:01:03
a1708cfe-7,Bar,Clothing,2388.92,191,8c8e0561-a,2025-04-01 21:38:07
1ce6d8dd-e,Scene,Clothing,4957.89,46,b43913be-d,2025-04-08 16:41:16
